TransactionID,CustID,Date,Employee,ProductID,ProductName,VendorID,ProductVendor,UnitPrice,Quantity,Subtotal,Tax(8%),OrderTotal,Month
10258,1,2023-07-17,Nancy Davolio,32,Mascarpone Fabioli,14,Formaggi Fortini s.r.l.,25.6,6,153.6,12.29,165.89,2023-07
10275,2,2023-08-07,Nancy Davolio,24,Guaran Fantstica,10,Refrescos Americanas LTDA,3.6,12,43.2,3.46,46.66,2023-08
10275,2,2023-08-07,Nancy Davolio,59,Raclette Courdavault,28,Gai pturage,44.0,6,264.0,21.12,285.12,2023-08
10292,3,2023-08-28,Nancy Davolio,20,Sir Rodney's Marmalade,8,"Specialty Biscuits, Ltd.",64.8,20,1296.0,103.68,1399.68,2023-08
10293,4,2023-08-29,Nancy Davolio,18,Carnarvon Tigers,7,"Pavlova, Ltd.",50.0,12,600.0,48.0,648.0,2023-08
10293,4,2023-08-29,Nancy Davolio,24,Guaran Fantstica,10,Refrescos Americanas LTDA,3.6,10,36.0,2.88,38.88,2023-08
10293,4,2023-08-29,Nancy Davolio,63,Vegie-spread,7,"Pavlova, Ltd.",35.1,5,175.5,14.04,189.54,2023-08
10293,4,2023-08-29,Nancy Davolio,75,Rhnbru Klosterbier,12,Plutzer Lebensmittelgromrkte AG,6.2,6,37.2,2.98,40.18,2023-08
10304,4,2023-09-12,Nancy Davolio,59,Raclette Courdavault,28,Gai pturage,44.0,10,440.0,35.2,475.2,2023-09
10304,4,2023-09-12,Nancy Davolio,71,Flotemysost,15,Norske Meierier,17.2,2,34.4,2.75,37.15,2023-09
10306,5,2023-09-16,Nancy Davolio,30,Nord-Ost Matjeshering,13,Nord-Ost-Fisch Handelsgesellschaft mbH,20.7,10,207.0,16.56,223.56,2023-09
10306,5,2023-09-16,Nancy Davolio,53,Perth Pasties,24,"G'day, Mate",26.2,10,262.0,20.96,282.96,2023-09
10306,5,2023-09-16,Nancy Davolio,54,Tourtire,25,Ma Maison,5.9,5,29.5,2.36,31.86,2023-09
10311,6,2023-09-20,Nancy Davolio,42,Singaporean Hokkien Fried Mee,20,Leka Trading,11.2,6,67.2,5.38,72.58,2023-09
10311,6,2023-09-20,Nancy Davolio,69,Gudbrandsdalsost,15,Norske Meierier,28.8,7,201.6,16.13,217.73,2023-09
10316,7,2023-09-27,Nancy Davolio,41,Jack's New England Clam Chowder,19,New England Seafood Cannery,7.7,10,77.0,6.16,83.16,2023-09
10325,8,2023-10-09,Nancy Davolio,6,Grandma's Boysenberry Spread,3,Grandma Kelly's Homestead,20.0,6,120.0,9.6,129.6,2023-10
10325,8,2023-10-09,Nancy Davolio,13,Konbu,6,Mayumi's,4.8,12,57.6,4.61,62.21,2023-10
10325,8,2023-10-09,Nancy Davolio,14,Tofu,6,Mayumi's,18.6,9,167.4,13.39,180.79,2023-10
10325,8,2023-10-09,Nancy Davolio,31,Gorgonzola Telino,14,Formaggi Fortini s.r.l.,10.0,4,40.0,3.2,43.2,2023-10
10340,9,2023-10-29,Nancy Davolio,18,Carnarvon Tigers,7,"Pavlova, Ltd.",50.0,20,1000.0,80.0,1080.0,2023-10
10340,9,2023-10-29,Nancy Davolio,41,Jack's New England Clam Chowder,19,New England Seafood Cannery,7.7,12,92.4,7.39,99.79,2023-10
10351,1,2023-11-11,Nancy Davolio,38,Cte de Blaye,18,Aux joyeux ecclsiastiques,210.8,20,4216.0,337.28,4553.28,2023-11
10351,1,2023-11-11,Nancy Davolio,41,Jack's New England Clam Chowder,19,New England Seafood Cannery,7.7,13,100.1,8.01,108.11,2023-11
10351,1,2023-11-11,Nancy Davolio,65,Louisiana Fiery Hot Pepper Sauce,2,New Orleans Cajun Delights,16.8,10,168.0,13.44,181.44,2023-11
10357,10,2023-11-19,Nancy Davolio,26,Gumbr Gummibrchen,11,Heli Swaren GmbH & Co. KG,24.9,16,398.4,31.87,430.27,2023-11
10357,10,2023-11-19,Nancy Davolio,60,Camembert Pierrot,28,Gai pturage,27.2,8,217.6,17.41,235.01,2023-11
10364,11,2023-11-26,Nancy Davolio,71,Flotemysost,15,Norske Meierier,17.2,5,86.0,6.88,92.88,2023-11
10371,12,2023-12-03,Nancy Davolio,36,Inlagd Sill,17,Svensk Sjfda AB,15.2,6,91.2,7.3,98.5,2023-12
10374,13,2023-12-05,Nancy Davolio,58,Escargots de Bourgogne,27,Escargots Nouveaux,10.6,15,159.0,12.72,171.72,2023-12
10377,14,2023-12-09,Nancy Davolio,28,Rssle Sauerkraut,12,Plutzer Lebensmittelgromrkte AG,36.4,20,728.0,58.24,786.24,2023-12
10377,14,2023-12-09,Nancy Davolio,39,Chartreuse verte,18,Aux joyeux ecclsiastiques,14.4,20,288.0,23.04,311.04,2023-12
10385,15,2023-12-17,Nancy Davolio,7,Uncle Bob's Organic Dried Pears,3,Grandma Kelly's Homestead,24.0,10,240.0,19.2,259.2,2023-12
10385,15,2023-12-17,Nancy Davolio,60,Camembert Pierrot,28,Gai pturage,27.2,20,544.0,43.52,587.52,2023-12
10385,15,2023-12-17,Nancy Davolio,68,Scottish Longbreads,8,"Specialty Biscuits, Ltd.",10.0,8,80.0,6.4,86.4,2023-12
10387,16,2023-12-18,Nancy Davolio,24,Guaran Fantstica,10,Refrescos Americanas LTDA,3.6,15,54.0,4.32,58.32,2023-12
10387,16,2023-12-18,Nancy Davolio,28,Rssle Sauerkraut,12,Plutzer Lebensmittelgromrkte AG,36.4,6,218.4,17.47,235.87,2023-12
10387,16,2023-12-18,Nancy Davolio,59,Raclette Courdavault,28,Gai pturage,44.0,12,528.0,42.24,570.24,2023-12
10387,16,2023-12-18,Nancy Davolio,71,Flotemysost,15,Norske Meierier,17.2,15,258.0,20.64,278.64,2023-12
10393,17,2023-12-25,Nancy Davolio,25,NuNuCa Nu-Nougat-Creme,11,Heli Swaren GmbH & Co. KG,11.2,7,78.4,6.27,84.67,2023-12
10394,18,2023-12-25,Nancy Davolio,13,Konbu,6,Mayumi's,4.8,10,48.0,3.84,51.84,2023-12
10394,18,2023-12-25,Nancy Davolio,62,Tarte au sucre,29,Forts d'rables,39.4,10,394.0,31.52,425.52,2023-12
